OPDIV,FAIN,"Obligation Document
Numbers",Recipient Name,Recipient State,Country,"Action Date (Date
Terminated)",Total Amount Obligated,Total Amount Expended,"Total Payment Amount (As
of Termination)","Unliquidated Obligations
(As of Termination)",Award Title,Presidential Action,"For Cause (Put
X if applicable)",page
ACF,2301CAPREP,2301CAPREP,"PUBLIC HEALTH,
CALIFORNIA DEPARTMENT
OF",CALIFORNIA,UNITED STATES,8/21/2025,-,-,-,-,PREP-2023,Termination for Cause,X,1
ACF,2401CAPREP,2401CAPREP,"PUBLIC HEALTH,
CALIFORNIA DEPARTMENT
OF",CALIFORNIA,UNITED STATES,8/21/2025,-,-,-,-,PREP-2024,Termination for Cause,X,1
ACF,2501CAPREP,2501CAPREP,"PUBLIC HEALTH,
CALIFORNIA DEPARTMENT
OF",CALIFORNIA,UNITED STATES,8/21/2025,-,-,-,-,PREP-2025,Termination for Cause,X,1
ACF,90CA1889,90CA188903,"UNIVERSITY OF KANSAS
CENTER FOR RESEARCH
INC",Kansas,UNITED STATES,12/8/2025,-,-,-,-,"Kansas Bravely Raising and Activating Voices for
Excellence",Departmental Authority,-,1
ACF,90CA1890,90CA189003,"KENTUCKY YOUTH
ADVOCATES, INC.",Kentucky,UNITED STATES,12/8/2025,-,-,-,-,Parents and Communities Together,Departmental Authority,-,1
ACF,90CA1891,90CA189103,"MINNEAPOLIS AMERICAN
INDIAN CENTER",Minnesota,UNITED STATES,12/8/2025,-,-,-,-,Bright Beginnings Field-Initiated Pilot Project,Departmental Authority,-,1
ACF,90CA1892,90CA189203,"FUND FOR THE CITY OF
NEW YORK",New York,UNITED STATES,12/8/2025,-,-,-,-,Peer Care Initiative,Departmental Authority,-,1
ACF,90CA1893,90CA189303,THE CONTINGENT,Oregon,UNITED STATES,12/8/2025,-,-,-,-,The North Little Rock Thriving Families Initiative,Departmental Authority,-,1
ACF,90CA1894,90CA189403,"YMCA OF SAN DIEGO
COUNTY",CALIFORNIA,UNITED STATES,12/8/2025,-,-,-,-,"Family Justice, Liberation, & Healing Project",Departmental Authority,-,1
ACF,90CA1895,90CA189503,"FOSTERCLUB, INC.",Oregon,UNITED STATES,12/8/2025,-,-,-,-,LEx Powered Excellence,Departmental Authority,-,1
ACF,90CA1896,90CA189601,"AMERICAN BAR
ASSOCIATION",DISTRICT OF COLUMBIA,UNITED STATES,2/20/2025,-,-,-,-,"MICHIGAN STOP OVERREPORTING OUR
PEOPLE (MI STOP)",Termination for Cause,X,1
ACF,90CT7016,90CT701603,"NORTH AMERICAN COUNCIL
ON ADOPTABLE CHILDREN,
INC",Minnesota,UNITED STATES,12/8/2025,-,-,-,-,Child Welfare Workforce Institute,Departmental Authority,-,1
ACF,90PH0032,90PH003203,"CHILD TRENDS, INC",District of Columbia,UNITED STATES,12/8/2025,-,-,-,-,"Center for Research on Hispanic Children and
Families",Departmental Authority,-,1
ACF,90YE0293,90YE029304,URBAN INSTITUTE (THE),District of Columbia,UNITED STATES,12/8/2025,-,-,-,-,"Center to Support Research and Evaluation Capacity
of CCDF Lead Agencies",Departmental Authority,-,1
ACF,90YE0318,90YE031801,"NORTHWESTERN
UNIVERSITY",ILLINOIS,UNITED STATES,7/8/2025,-,-,-,-,"A QUALITATIVE EVALUATION OF EQUITABLE
ACCESS AND PARTICIPATION IN UNIVERSAL
PRE-KINDERGARTEN",Termination for Cause,X,1
ACF,90YE0329,90YE032901,UNIVERSITY OF TENNESSEE,TENNESSEE,UNITED STATES,7/8/2025,-,-,-,-,"EXAMINING THE EVOLUTION OF MENTAL
HEALTH AMONG RACIAL MINORITY EARLY
CARE AND EDUCATION WORKFORCE FROM
2019 TO THE COVID-19 PANDEMIC: A LATENT
GROWTH MODELING APPROACH",Termination for Cause,X,1
ACF,90YE0331,90YE033101,CINCINNATI UNIV OF,OHIO,UNITED STATES,7/8/2025,-,-,-,-,"SPECIFYING INEQUITIES OF DEPRESSION IN
EARLY CHILDHOOD EDUCATORS (SIDE)",Termination for Cause,X,1
ACF,90YE0351,90YE035101,"TRUSTEES OF BOSTON
UNIVERSITY",MASSACHUSETTS,UNITED STATES,7/8/2025,-,-,-,-,"BUILDING DATA AND RESEARCH CAPACITY TO
SUPPORT THE ECE WORKFORCE IN
MASSACHUSETTS",Termination for Cause,X,1
ACF,90YR0170,90YR017002,LEHIGH UNIVERSITY,PENNSYLVANIA,UNITED STATES,7/8/2025,-,-,-,-,"INTERAGENCY TRAINING TO PROMOTE
CULTURALLY RESPONSIVE, FAMILY-CENTERED
HOME VISITING AND PEDIATRIC SERVICE
INTEGRATION",Termination for Cause,X,1
ACF,90YR0192,90YR019202,"IOWA STATE UNIVERSITY
OF SCIENCE &
TECHNOLOGY",Iowa,UNITED STATES,12/8/2025,-,-,-,-,"A Statewide Mixed-Methods Study of Head Start
Enrollment and Retention among Eligible Children",Departmental Authority,-,1
ACF,90ZU0456,90ZU045601,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,1
ACF,90ZU0456,90ZU045602,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,1
ACF,90ZU0456,90ZU045603,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,2
ACF,90ZU0464,90ZU046401,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,2
ACF,90ZU0464,90ZU046402,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,2
ACF,90ZU0464,90ZU046403,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,2
ACF,90ZU0465,90ZU046501,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,2
ACF,90ZU0465,90ZU046502,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,2
ACF,90ZU0465,90ZU046503,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,2
ACF,90ZU0473,90ZU047301,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,2
ACF,90ZU0473,90ZU047302,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,2
ACF,90ZU0473,90ZU047303,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,2
ACF,90ZU0476,90ZU047601,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,2
ACF,90ZU0476,90ZU047602,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,2
ACF,90ZU0476,90ZU047603,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,2
ACF,90ZU0478,90ZU047801,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,2
ACF,90ZU0478,90ZU047802,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,2
ACF,90ZU0478,90ZU047803,"SOUTHWEST KEY
PROGRAMS INC",TEXAS,UNITED STATES,7/18/2025,-,-,-,-,"RESIDENTIAL (SHELTER AND/OR TRANSITIONAL
FOSTER CARE) SERVICES FOR
UNACCOMPANIED CHILDREN-LICENSED AND
TEXAS-EXEMPT AND FLORIDA-DELICENSED
ONLY",Termination for Cause,X,3
